id,art_style,painting,language,emotion,utterance
20213,Northern_Renaissance,albrecht-durer_the-holy-family-with-angels-under-trees,english,contentment,"['The woman cradling her baby makes me feel rather quaint and warms my heart.', 'A man and his wife are enjoying the nice weather outside with their baby.', 'I am intrigued about what is transpiring in this picture. The man appears unready for this portrait and the woman appears to know his awkwardness.']"
20214,Cubism,andre-masson_the-meals,english,fear,['The painting style is almost reminiscent of the Scream.  The faces not having definitive features and the distorted perspective of all the objects is unsettling.']
20215,Color_Field_Painting,ellsworth-kelly_blue-on-white-1961,chinese,awe,['蓝色的色块形状像是一个屁股，让人惊叹。']
20216,Color_Field_Painting,ronald-davis_diamond-pinwheel-1964,chinese,awe,['红色，深蓝色，深灰色拼接起来的地板看着让人惊讶']
20217,Impressionism,lucia-demetriade-balacescu_n-parc-1966,english,excitement,['I like the colorful blue hat the lady wears.']
20218,Realism,julius-leblanc-stewart_redemption-1895(1),english,excitement,['The man in the black coat is trying to undress his wife in front of a crowd.']
20219,Naive_Art_Primitivism,david-burliuk_by-the-samovar-tea-time-1950,chinese,fear,['画中人身形比例很奇怪，头太大，令人害怕。']
20220,Baroque,annibale-carracci_st-magdalene-in-the-desert-1591,english,awe,['the black and white image seems like a lady is looking somewhere']
20221,Realism,james-mcneill-whistler_old-woman-with-rags,arabic,sadness,"['سيده كبيره تجلس في حجره صغيره ضيقه مظلمه وغير منظمه ولا تجد معها شئ', 'امرأه تجلس وحيده داخل مسكنها الذي يعتبر غرفه واحده ضيقه جدا تبدو المرأه متعبه جدا من شده الفقر', 'سيده فقيره تقوم بخياطه الملابس داخل حانوتها الصغير وبجوارها حقيبتها']"
20222,Abstract_Expressionism,jimmy-ernst_landscape-with-pinetree-1958,english,awe,"['It looks like a spark of lfe breaking through the barren landscape, symbolizing how life goes on', 'The rock formations the artist created is creative and to show that life is always there, he incorporated a tiny tree.']"
20223,Symbolism,ferdinand-hodler_the-consecrated-one,arabic,contentment,['مجموعه من السيدات يرتدين ملابس لونها ابيض لهم اجنحه بيضاء يقفون حول طفل صغير يجلس على الاعشاب امامه شجره صغيره']
20224,Romanticism,gustave-dore_don-quixote-145,arabic,excitement,['لوحه كلاسيكيه قديمه بها رجلان نائمان على الارض بجوار احصنتهم']
20225,Northern_Renaissance,albrecht-durer_christ-on-the-cross-with-the-virgin-and-st-john-1510,chinese,sadness,"['一个人被吊了起来，其他人感到很难过。', '男子被绑在十字架上，面露痛苦，让人伤感。', '浸满悲伤眼神的两个人围住被钉在十字架上的人，画面看起来很悲伤']"
20226,Abstract_Expressionism,mark-tobey_illuminated-plane-1958,arabic,contentment,['لوحة بمجموعة ألوان متقاربة تظهر الصورة بشكل مميز']
20227,Ukiyo_e,kitagawa-utamaro_three-courtesans-stroll-amidst-cherry-blossoms-1803,english,amusement,"['It was here, she tells them of meeting him.', 'This painting makes me smile  and giggle, with the little chinese ladies almost like they are waiting on dates.']"
20228,Post_Impressionism,vincent-van-gogh_young-slave-1887,arabic,awe,['تمثال واقف بطريقة غير مستويه واخر يقف بنفس الطريقه يشبه ظل له']
20229,Impressionism,claude-monet_rouen-cathedral-the-portal-at-midday,english,sadness,"['Notre Dame before the fire.  The lightness gives one hope that there is still beauty within the cathedral.', 'The blurry paint ruins the visual appeal of the grand cathedral.']"
20230,Expressionism,albert-bloch_blue-waterfall-1932,chinese,fear,['洪水从上方冲下来，已经要淹过了下面的房子，来势凶猛，让人感到害怕。']
20231,Realism,gustave-courbet_portrait-of-alfred-bruyas-painting-solution-1853,chinese,contentment,"['一个男子穿着得体的西装站在桌子旁，一只手撑在桌子上，他的胡子特别的长，手上带着各种戒指，给人一种平淡舒适的感觉，让人不由感到满意。', '男人留着络腮胡，一本正经的样子。', '黑色背景下，一名毛发旺盛的男子身穿富贵侧坐在中央，所有的一切都显示着他的高贵，让人有满足感。']"
20232,Symbolism,nicholas-roerich_sunrise-unfinished-1930,chinese,awe,"['画面中的山画的十分立体逼真，画家的画工令人惊叹。', '落日余晖映红了高山，十分美丽壮观，让人惊叹不已。']"
20233,Realism,ivan-vladimirov_issuance-of-bread,english,awe,"['The way it was painted is beautiful, it looks so muddy and interesting']"
20234,Minimalism,conrad-marca-relli_untitled-m-10-69-1969,chinese,contentment,"['白色和棕色小巧的扣子把两块布结合在一起，令人舒适。', '画面中的图案线条柔和，十分和谐。']"
20235,Ukiyo_e,utagawa-kuniyoshi_shoki-and-demon-edo-period-1,chinese,fear,"['长着络腮胡子的男人，一脸凶恶，手提着小怪物，一脸的杀意。', '夸张的毛发和奇形怪状的怪物，让人觉得十分的恐惧。']"
20236,Early_Renaissance,sandro-botticelli_the-return-of-judith-to-bethulia-1473(1),arabic,fear,['فتاة تحمل سيف كبير جدا وامرأة اخرة تحمل رأس رجل']
20237,Cubism,pablo-picasso_cat-eating-a-bird-1939,arabic,disgust,['ديناصور له جلد نمر ومخالب تنين وراس حمار شكله غريب امامه طائر يمسك به بمخالفه وياكله']
20238,Romanticism,dante-gabriel-rossetti_fanny-cornforth-1868,arabic,awe,['عيون الفتاه ونظراته الثاقبه تعبر عن مدي ذهولها وتفكيرها العميق']
20239,Post_Impressionism,henri-de-toulouse-lautrec_woman-brushing-her-hair,english,sadness,"[""the woman looks like she's in distress and feels like she needs to cut off her hair""]"
20240,Impressionism,camille-pissarro_fog-morning-rouen-1896,arabic,amusement,['لون البحيره الزرقاء متباين مع بيوت صغيره علي الشاطئ وطريق جميل في مشهد رائع']
20241,Rococo,maurice-quentin-de-la-tour_preparation-to-the-portrait-of-anne-julie-boetie-of-st-leger,chinese,awe,['老人头发花白却任然微笑面对生活']
20242,Cubism,paul-cezanne_still-life-with-three-skulls,english,fear,"['the skeletons remind of the black plaque', ""This is gruesome and looks like something in a serial killer's house."", 'It looks like these skulls have been freshly cleaned of all their flesh']"
20243,Expressionism,amedeo-modigliani_paul-guillaume-1916,chinese,contentment,['画面上的男子难掩面目之中的喜悦，表情十分鲜活，让人觉得十分快乐。']
20244,Impressionism,childe-hassam_montauk-1921,english,awe,['the porcelain colored skin contrasts well with the green landscape']
20245,Impressionism,childe-hassam_against-the-light,arabic,contentment,"['فتاة ذات بشرة شاحبة شعرها برتقالي مرتدية فستان ابيض منقوش عليه الورود', 'سيده جميله تجلس علي الكرسي المقابل للنافذه التي يتسلل منها ضوء الشمس الهادئ وهي تبدو مرتاحه للغايه']"
20246,Symbolism,mikhail-nesterov_christ-with-martha-and-mary-1911,arabic,contentment,"['تجلس فتاة برداء أبيض مع سيدة بفستان أزرق أمام بيت صغير وسط العشب الأخضر والسكون يسود المكان', 'ثلاثة من النساء وسط مجموعة كبيرة من الأعشاب الخضراء']"
20247,Fauvism,max-pechstein_m-dchen-sitzender-weiblicher-akt-1910,chinese,disgust,['图中女人丑陋的身躯和让人反感的面部装束让人感觉很厌恶。']
20248,Realism,vincent-van-gogh_miners-in-the-snow-winter-1882,chinese,contentment,"['一个人扛着锄头，和另外两个人站在雪地里愉快地交谈着。', '戴着帽子的三个人站在地上聊天，看着很悠闲。', '三个人站在雪地里聊天，给人一种满足的感觉', '几个穿着灰色衣服的人正在劳作，看着很勤劳。']"
20249,Art_Nouveau_Modern,aubrey-beardsley_pierrot-3,chinese,contentment,['一男一女走在乡间小路上，远处是连绵的山脉和高耸的电杆，画面温馨让人觉得很满足']
20250,Expressionism,abraham-manievich_autumn-day,arabic,contentment,"['بيوت متقاربة ومنظمة وأمامها شجرة خالية الأوراق في جو هادئ ولطيف', 'سقف البيت برتقالي اللون و جذع الشجرة أمام المنزل']"
20251,Expressionism,abraham-manievich_portrait-of-the-artist-s-wife-1929,english,sadness,"['The woman looks very sad and melancholy.  The brown face contrasts with thered flowers.', 'The woman appears to be sad.', 'With her downturned lips, and her somewhat vacant stare to somewhere unknown off the edge of the painting, the woman appears sad and resigned.']"
20252,Impressionism,pierre-auguste-renoir_young-man-in-a-red-tie-portrait-of-eugene-renoir-1890,arabic,amusement,['رجل وسيم يرتدي بدلة ،وله شعر كثيف يجلس ،وينظر للأمام بهدوء لقد شعرت بالمتعة عندما نظرت إليها.']
20253,Impressionism,henri-de-toulouse-lautrec_dog-car-1880,chinese,sadness,['一个人赶着马车向前走 面无表情让人感觉很伤感。']
20254,Cubism,olexandr-archipenko_head-of-a-woman-1921,english,fear,"['The elongated structure of this face makes me fearful', 'A faceless, featureless head is Big Brother creepy.', 'It is because of the expression of the face of the effigy', 'The sculpture appears to be like a pinky finger with a face on it which freaks me out', 'Just a super weird image, the neck being the way it is reminds me of slender man.', 'This sculpture makes me feel uneasy because of its severed head. The figure has an expression of serenity but there is something uncanny about it.']"
20255,High_Renaissance,titian_entombment-of-christ-1526,arabic,fear,['يسيطر علي الصوره مشاعر الرجاء والدعا لانقاذ مريضهم']
20256,Contemporary_Realism,eric-fischl_bad-boy,chinese,contentment,['桌子上摆着水果，房间里只有男人和女人，这种生活让人觉得惬意舒适。']
20257,Impressionism,frits-thaulow_from-dieppe-to-arques-river,chinese,sadness,['一个光秃秃的歪歪扭扭的树枝延伸到了河面上，旁边笔直的树木形成对比，看着让人伤心。']
20258,Post_Impressionism,arshile-gorky_portrait-of-akabi,arabic,awe,['سيده جميله بوجه كبير ترتدي ملابس برتقاليه متناسقه']
20259,Realism,john-singer-sargent_venetian-street-1882,english,awe,"[""The background windows help emphasize the man's imposing stature.""]"
20260,Baroque,alonzo-cano_immaculate-conception-2,chinese,fear,['地上躺着几个小婴儿，惨白色的身体让人感到有点恐怖。']
20261,Pop_Art,leroy-neiman_mike-piazza-2000,arabic,excitement,"['رجل يرتدي زي رياضي ويمسك بعصاة وكأنه يلعب رياضة في جو نشاطي وحماسي', 'نظرات حماسية توحي انك ف اجواء المباراه وسط الالوان الزاهية التي تضغي عليها', 'الالوان متناسقه ومتباينه تعطي روح حماسيه للاعب وتحفره للفوز', 'بقع ملونة متباينة الألوان لرجل يرتدي الأبيض ويمسك بمضرب خشبي']"
20262,Impressionism,pierre-auguste-renoir_near-lake,arabic,contentment,"['رجل مع فتاة صغيرة يقف أمامه جالسًا في حديقة بالقرب من بحيرة أو شاطئ', 'سيولة الألوان الخضراء المختلفة المستخدمة هنا ساحرة للغاية وذكية للغاية في طريقة تجميع الصورة', 'علي اريكة الملك الخاصه يجلس هو وابنه وسط النباتات مختلفة الالوان والاشكال']"
20263,Baroque,paul-bril_ruins-and-figures-1600,chinese,awe,['在崎岖的山路上面，停歇着一队休息的商客，令人惊叹。']
20264,Post_Impressionism,pierre-bonnard_gardens-of-tuileries-1912,chinese,fear,['深蓝色的天空营造了一中恐怖的气氛']
20265,Realism,john-everett-millais_a-souvenir-of-velazquez,english,sadness,"['This young girl in pink and black holding a tangerine, does not look happy.']"
20266,Impressionism,francis-picabia_notre-dame-the-effect-of-sunlight,english,sadness,['This painting makes me think of the Notre Dame Cathedral which got burned down']
20267,Early_Renaissance,sandro-botticelli_three-miracles-of-st-zenobius-1505(1),arabic,awe,['يبدو بان هناك حاله طارئه في هذه المشفي الصغيره']
20268,Expressionism,ernst-ludwig-kirchner_playing-naked-people,chinese,contentment,"['作品中幸福的一家四口在外面野餐，孩子们在玩耍，夫妻两个人你侬我侬，给人一种家庭温馨的感觉。', '女人和男人抱在一起，画面看起来非常温馨。']"
20269,Early_Renaissance,fra-angelico_st-jerome-1440,english,contentment,"['It looks like a religious man reading a book, possibly the Bible, and is in great thought. Also, the browns are calming.']"
20270,Abstract_Expressionism,sam-francis_happy-death-stone-1960,english,sadness,['The reds look like hats on the blue.']
20271,Baroque,rembrandt_portrait-of-willem-bartholsz-ruyter,arabic,fear,['عجوز برداء كبيرة وقبعة بيضاء وعيونه السوداء تبعث الخوف والرعب']
20272,Realism,robert-brackman_life-about-me,english,excitement,"['It was quite a wild party indeed, clothes were only optional at this party.', 'The placement of figures has a congregational feel.', 'Men appear to be making merry with nude women, which is arousing.']"
20273,Impressionism,ion-theodorescu-sion_red-muslin-1931,chinese,contentment,"['女孩正在洗着头发妖娆的姿态让人感到心动', '女人梳着头发，面色柔和，看起来让人感到舒适。', '带红色项链的人头上绑着红头巾令人满意。', '女人头上扎着红色的丝带，脸色红润，让人觉得很艳丽。']"
20274,Color_Field_Painting,angelo-de-sousa_um-2006,arabic,anger,['يتداخل اللونين الازرق و الأحمر بشكل عنيف و غير متناسق علي الاطلاق']
20275,Cubism,georges-braque_road-near-estaque-1908,chinese,contentment,"['茂密的森林中树叶遮天蔽日，让人感到舒适。', '层次渐变的绿色和黄色描绘了一幅丛林美景，树木郁郁葱葱，看起来富有生机']"
20276,Cubism,roy-lichtenstein_bull-iii-1973(1),english,contentment,['Nice bright colors it is whimsical and it looks like there is a smiling face in the picture.']
20277,Post_Impressionism,paul-gauguin_portrait-of-william-molard-1894,english,fear,"[""The man's purple eyes and background make him seem alien and creepy."", ""The man's beady purple eyes and purple background creeps me out."", ""The man's eyes appear to be moving indepentently from his face""]"
20278,Symbolism,mikhail-vrubel_demon-and-angel-with-tamara-s-soul-1891,arabic,sadness,"['امرأة تحضن فتاه وكأنهما خيال وعلي الارض يجلس رجل يائس وحزين', 'عمل مذهل ورائع مع تباين شخص حزين جالس على الأرض وامراه تمتلك جناحان']"
20279,Northern_Renaissance,albrecht-durer_adam-and-eve-1504-1,arabic,contentment,['رجل عاري وامرأة عارية يقفان في الغابة وحولهم الحيوانات']
20280,Fauvism,andre-derain_the-port-of-collioure-1905,chinese,disgust,['画面的色彩斑驳艳丽，让人眼花缭乱。']
20281,Color_Field_Painting,ronnie-landfield_green-mountain-man-1975,arabic,excitement,['يبدو مثل الملعب الذي سيصطف فيه اللاعبين و يتنافسون بكل حماس']
20282,Color_Field_Painting,theodoros-stamos_infinity-field-lefkada-series-1982(1),chinese,contentment,['画面中像一个安静的夜晚的天空，让人觉得美好。']
20283,Art_Nouveau_Modern,sergey-solomko_the-enemy-conseals-himself,chinese,contentment,"['作品中的小孩子有胖胖的身材，可爱的翅膀，让人爱慕。', '画面中女子白皙的皮肤和身穿白色华丽的服饰，令人觉得十分漂亮。', '女人看着很高贵，面带微笑，一脸从容和满足']"
20284,Symbolism,nicholas-roerich_the-glory-of-himalayas,arabic,awe,"['مرتفاعات جبلية و صخرية منها شاهق الإرتفاع مغطى بالثلوج', 'السماء صافيه ويوجد الكثير من الجبال ويوجد غيمه واحده']"
20285,Baroque,paul-bril_landschaft-mit-sibyllentempel-1595,arabic,amusement,['قصر فخم على تل عالي يطل على بحيرة رائعه الجمال والطيور تزين المكان']
20286,Art_Nouveau_Modern,ivan-bilibin_poster-historical-exhibition-of-art-objects-in-favor-of-injured-1904,english,anger,"[""The angry eyes of the birds and stiff border annoy me because it doesn't feel fluid.""]"
20287,Impressionism,camille-pissarro_corner-of-the-garden-in-eragny-1897,english,contentment,"['Peace, serenity and calm are the feelings that come through viewing the people enjoying their warm spring day at the park', 'This is a beautiful pictured it almost puts you in the garden the colors are nice it is put together very nice', 'The colors remind me of actually being outside on a nice day.', 'The image of the woman reading outside in the garden', 'lovely scene of a garden - nature is soothing and the subjects look comfortable']"
20288,Impressionism,gustave-caillebotte_orchids,arabic,contentment,"['اشجار تخرج زهور لونها ابيض بجانب شرفه من الاخشاب', 'جمال الزهور الرائعه المتناسقه الالوان في شكل مبهر وجميل']"
20289,Romanticism,paul-cezanne_the-fountain-1872,arabic,contentment,['عمل رائع ومذهل لأشخاص مرسومه بشكل مذهل مع تباين امراه تملأ الإنا بالماء']
20290,Impressionism,berthe-morisot_marcel-gobillard,arabic,disgust,['الوجه غير واضح لتفاصيله والالوان غير جميله والخلفيه سيئه']
20291,Realism,vladimir-makovsky_rest-on-the-way-from-kiev,chinese,contentment,"['正在吃饭的老人盯着一个正在看书的女子，看着很严肃，', '女儿在给吃饭的父亲念着书里的文章，让人感到满足。', '女孩看着书，男人端起勺子想要喂女人吃饭，画面十分融洽。', '男人正在用勺子吃饭，女孩在看书，很是温馨']"
20292,Realism,vincent-van-gogh_still-life-with-bible,english,excitement,"['I love reading books similar to this! It is really thick, and looks like it tells an interesting story.']"
20293,Ukiyo_e,katsushika-hokusai_title-page-is-decorated-with-a-lot-of-flowers,english,disgust,['The Japanese writing is faded and yellowed like it is stained with age.']
20294,Symbolism,nicholas-roerich_stupa-at-chung-chu-1928,arabic,awe,['برج عظيم علي شاطئ بحر كبير تبدو وكأنها مدينة مذهلة، الالوان الغير متدرجة في المياه توحي بالعمق']
20295,Post_Impressionism,paul-gauguin_cows-on-the-seashore-1886,english,contentment,"['I can practically hear the ocean just by looking at this image. Very peaceful and beautiful.', 'I can hear the waves crashing on the shore. The woman in the image looks very content which adds to my feeling of contentment.']"
20296,Realism,mary-cassatt_the-mandolin-player,english,contentment,"[""The stringed instrument is a nice contrast to the light peach of woman's dress top."", ""The woman is making merriment since she's playing the banjo""]"
20297,Baroque,guido-reni_angel-of-the-annunciation,arabic,contentment,"['فتاه صغيره ذو شعر بني طويل وترتدي فستان ابيض', 'فتاة بيضاء بشرتها وعلى خدودها إحمرار يزيدها جمالا', 'شابه صغيره السن بيضاء اللون ناصعه تلبس رداء مطرز وتشير بأصبعها ألي شئ ما', 'فتاة حسناء تحمل في يدها اليسرى غصن شجرة']"
20298,Post_Impressionism,maxime-maufra_the-beach-at-morgat-finistere-1899,arabic,amusement,"['لون البحر الازرق متباين بشكل جميل مع وجود مجموعة من الجبال في الخلفية', 'تحفه فنيه رائعه ل مشهد جميل مع السماء الصافيه والجبال']"
20299,Minimalism,pino-pinelli_pittura-r-1986,chinese,contentment,"['画面中的椭圆排列整齐，让人感到舒服。', '墙上画了几个红色的图案，格外的引人注目，让人不由感到满意。']"
20300,Cubism,georges-braque_road-near-estaque-1908,chinese,fear,['扭曲的小路和奇形怪状的树，让人感觉害怕。']
20301,Art_Nouveau_Modern,boris-kustodiev_restaurant-owner-1920,chinese,contentment,"['画面中，餐厅里，人物面前摆放着很多美食，很温馨。', '胖胖的男人面前摆满了封神的食物，给人满足之感', '琳琅满目的食物让人看着满足', '一位穿着黑色背心绿色秋衣的男人坐在椅子上，前边桌子上放满了各种各样的美食，很诱人。']"
20302,Expressionism,toyen_a-wonder-with-the-angel-1932,chinese,fear,"['天花板上的吊灯突然掉下来，砸在女人的身上，让人感到害怕。', '教堂里一个长着翅膀的女子，嘴巴大张神情慌张，让人感到不安。']"
20303,Romanticism,john-singleton-copley_the-victory-of-lord-duncan-1799,arabic,disgust,['شيوع الاستبدادية والعبودية في العصور القديمة كان له تاثير كبير على تكوين الثورات والحركات الشعبية']
20304,Impressionism,eugene-boudin_the-port-of-deauville-1875,arabic,excitement,['قارب صغير وسط مجموعه كبيرة من السفن الضخمه فى عرض البحر']
20305,Realism,gustav-klimt_portrait-of-a-lady,english,anger,['The girl is looking anger and her eyes is looking most powerful.']
20306,Realism,ilya-repin_leo-tolstoy-working-at-the-round-table-1891,arabic,contentment,['رجل مسن  يكتب كتابه  بخط يدة ليستعد لنشرة']
20307,Impressionism,pierre-auguste-renoir_young-girl-reading-1904,chinese,sadness,['少女看着书，神色忧郁，让人觉得伤感。']
20308,Expressionism,ion-pacea_the-garden,chinese,awe,['大胆的配色，吸引人的视线，让人感到经惊叹']
20309,Naive_Art_Primitivism,david-burliuk_by-the-samovar-tea-time-1950,arabic,anger,['رجل يبدو انه صانع خمور مما يثير الشعور بالغضب']
20310,Cubism,carlos-merida_figures-with-pipes-1978,english,excitement,['the figures appear to be making music']
20311,Romanticism,albert-bierstadt_new-england-landscape-1889,arabic,contentment,['والحضري عليه اعشاب واشجار خضراء والسماء بها غيوم بيضاء']
20312,Baroque,adriaen-brouwer_scene-at-the-inn,arabic,sadness,['يتجمع الناس داخل غرفة أحدهم نائم على سرير وكأنه مريض والأخرون يشربون من كؤوس مياه وكأنهم كانوا في أمر شاق']
20313,Naive_Art_Primitivism,marc-chagall_king-david-1963,arabic,sadness,['هي قد ارغمت علي الزواج من شخص لا تحبه وهو يقف حزين علي حبه']
20314,Rococo,bernardo-bellotto_the-freyung-1761,arabic,amusement,['مجموعه من المبانى الضخمه ذات الشرفات المتعدده امامها جمع هائل من الناس']
20315,Art_Nouveau_Modern,ivan-bilibin_illustration-for-the-russian-fairy-story-feather-of-finist-falcon-1900(1),chinese,sadness,"['一位农妇独自在村落外围，眺望着皇宫，似乎在担心在宫里当差的丈夫，营造出一种哀伤的氛围。', '女人站在一棵大树前，头上戴着围巾，身穿棕色上衣蓝色裙子，望着远处，给人一种伤感无助的感觉。']"
20316,Post_Impressionism,edouard-cortes_boulevard-de-la-madeleine-winter-2,chinese,contentment,"['下雪的夜晚，大家都在急忙往家赶，让人感觉岁月静好。', '万家灯火初上，人们行色匆匆都忙着赶回家和家人团聚，画面很有生活气息，让人满足。', '树枝上地面上还有雪，人们出门走在路上，让人觉得很热闹。', '黄色的灯光让人想到了太阳，让人心里暖暖的。']"
20317,Expressionism,billy-childish_billy-and-traci-2001,english,anger,['The red on the ladies face looks like blood.']
20318,Impressionism,paul-gauguin_port-de-javel-1876,arabic,amusement,['القريه تبدو جميله للغايه والبحيره الزرقاء تعكس اضاءة النهار و الاشجار الخضراء الجميله']
20319,Northern_Renaissance,hieronymus-bosch_the-garden-of-earthly-delights-1516-1,english,awe,"[""I'm in awe over the formation of the birds painted here.""]"
20320,Impressionism,william-merritt-chase_swollen-stream-at-shinnecock,english,disgust,"[""The water looks like it's been filled with a lot of brown dirt""]"
20321,Impressionism,eduardo-viana_untitled,english,disgust,['The people look sooty since the scene was drawn with charcoal colors']
20322,Realism,aleksey-savrasov_volga-1870,arabic,contentment,['السماء صافيه والسحب جميلة والجو هادىء بيعت على الإطمئنان وراحة البال']
20323,Ukiyo_e,utagawa-toyokuni_three-beauties-snow,chinese,sadness,"['图片中天空正飘着白皑皑的雪，女子行走在雪地上，身边有一只狗陪在她身边，给人一种忧伤的感觉。', '大雪中女子孤独的行走，让人伤感。']"
20324,Fauvism,pyotr-konchalovsky_still-life-with-peonies-in-a-vase,chinese,contentment,"['蓝色的桌面加上桌子上盛开的紫色的花朵让人看着心旷神怡。', '画面中紫色的花和绿色的树叶构成的景象令人觉得很漂亮。']"
20325,Pop_Art,mario-schifano_when-i-remember-giacomo-balla-1964,chinese,awe,"['只显示出好多脚来传达人多的场面。', '白色部分像人影，都站在那里抬着头，让人惊叹']"
20326,Post_Impressionism,edouard-cortes_bouquinistes,arabic,awe,['مسافر غريب عن البلدة يحاول أن يتهجأ عنوانا بلغةأجنبية مكتوب في الورقة عليه أن يتوجه إليه، والنارة مشغولون كل في طريقه.']
20327,Romanticism,ivan-aivazovsky_vesuvius,arabic,excitement,['كم يبدو هذا المكان رائع وذو مظهر جميل وخلاب في منظر الشمس الجميل والمياه الصافيه']
20328,Realism,ilya-repin_portrait-of-a-boy-1867,chinese,contentment,"['画面中女子细长的眉毛和白皙的皮肤令人觉得十分漂亮。', '身穿黑色衣服的孩子有着稚嫩的脸庞，给人舒服的感觉', '穿着黑色衣服的女孩面带微笑，看着很可爱。']"
20329,Art_Nouveau_Modern,nicholas-roerich_fire-paternoster-1907,english,amusement,"['This is either some magma fortress or bowser mission on a mario game.', 'Looks like an album cover for a power metal band, colors remind me of Halloween jackolanterns.']"
20330,Expressionism,yiannis-moralis_by-the-outdoor-photographer-1934,chinese,contentment,"['女人穿长裙，涂红唇，领着孩子，满脸慈爱，令人满足。', '一位穿着红色衣服的女人和一位穿着黄色衣服的女人旁边站着一位身穿绿色衣服的孩子，让人感到开心。', '两个女人和一个小孩紧凑在一起，看起来感情很好。', '黄衣女人旁边站着绿衣女孩和红衣女子，三人表情十分满足。', '红裙子和黄裙子的女人站在一排摆着姿势祥和的场面令人满意。']"
20331,Realism,john-singer-sargent_mrs-edmond-kelly-1889,arabic,sadness,['تجلس سيدة ملامحها ملائكية جميلة يظهر عليها الحزن بيدها ورة بيضاء تشبه جمالها']
20332,Impressionism,pierre-auguste-renoir_the-artist-s-studio-rue-saint-georges-1876,arabic,contentment,"['رجال يرتدون بدل أو ما يعرف بالزى الرسمى ويجلسون فى حيرة من أمرهم وشرود', 'الرجل يجلس مع مجموعه من الرجال ويمسك بسجارة بين أصابعه']"
20333,Realism,theodore-rousseau_not_detected_198932(1),english,fear,"['The clouds rolling in make the rocky outcropping creepier than it normally looks at this time of day.', 'Where ever this pitch black place is, I do not want to go there.', 'The painting looks very dark like evil spirit is about to spring up from the darkness.']"
20334,Impressionism,yiannis-tsaroychis_man-on-horseback-and-bather-standing-1965,english,excitement,"['The individuals seem to be having a lovely time with one another as they romp around on the ground together.', ""The men are shirtless and muscular, and they're showing off their bodies""]"
20335,Realism,odilon-redon_bouquet-of-anemones,arabic,awe,['المزهريه الزرقاء الجميله تحمل الورود الحمراء والبيضاء والورديه بمختلف اشكالها وتبدو جميله']
20336,Expressionism,amedeo-modigliani_portrait-of-marevna-1919,chinese,fear,['女人苍白的面庞，无神的眼睛，看起来很可怕。']
20337,Expressionism,theo-van-doesburg_self-portrait-1906,arabic,sadness,['رجل مهترئ الملابس يملك شعر طويل يظهر وكانه اعمي لا يري شي']
20338,Realism,pyotr-konchalovsky_still-life-peonies-in-a-basket-1935,english,excitement,['A classic flower picture and flowers usually bring joy.']
20339,Abstract_Expressionism,hans-hofmann_pastorale-1958,arabic,awe,"['أحيانًا تكون الألوان والأشكال الأساسية مرضية للعرض التقديمي   وهذا التكوين يحقق ذلك تمامًا', 'مجموعه كبيره من الالوان المتداخله في بعضها البعض والتي لا تترك اي دلاله لاي شئ']"
20340,Post_Impressionism,maxime-maufra_the-retreating-fog-morning-les-andelys-1902,english,contentment,"['Nice scenery. A little bland in colors. Still like it though.', 'staring on it makes you feel relaxed, because of the scenery']"
20341,Naive_Art_Primitivism,pablo-picasso_musketeer-with-pipe-1968,chinese,disgust,"['此作品色彩搭配很多，画面元素似乎随便拼凑而成，让人难以接受。', '画面有绿色，蓝色，红色，黑色，画了一个夸张的人脸，让人嫌恶。']"
20342,Pop_Art,charles-lapicque_mythologie-marine-1987,chinese,fear,['长着蓝色眼睛的大红色辣椒感觉十分诡异吓人']
20343,Fauvism,pyotr-konchalovsky_balaklava-fishing-nets-1929-1,arabic,contentment,['رسمه ملونه لبحيره تسير فيها مراكب وحولها منازل']
20344,Post_Impressionism,theo-van-rysselberghe_four-bathers,arabic,amusement,"['بعض النساء العاريات يجلسن أسفل شجرة في حديقة وكأنهم يستمتعون بالجو والخضرة', 'الكثير من السيدات العاريه بدون ملابس يجلسون على الاعشاب الخضراء على الارض وسط الاشجار يتحدثون', 'نساء عاريات في الحديقة وتحت الشجره الخضراء يتمتعن']"
20345,Romanticism,thomas-cole_the-fountain-of-vaucluse-1841,arabic,contentment,"['مرتفعات ومباني جميلة مع اعشاب ونباتات خضراء تطل على مجرى مياة رائع', 'جبال عالية تكسوها الخضرة وتلتف حول جدول صغير من المياه ومن فوقهم سماء تمتلئ بالسحب البيضاء']"
20346,Pointillism,maurice-prendergast_rising-tide-st-malo,english,contentment,['The people are all going about their lives next to calm water and under a sunny sky.']
20347,Rococo,louise-elisabeth-vigee-le-brun_the-daughter-s-portrait,arabic,contentment,['فتاه ترتدي ملابس لونها احمر شعرها لونه احمر على راسها طوق من الزهور تنظر الى السماء']
20348,Cubism,mario-sironi_the-truck,english,excitement,['I love the dark colors the artist used to paint car. The scene is very suggestive of busy city life.']
20349,Impressionism,mary-cassatt_child-with-red-hat,english,excitement,"['That bright red hat really adds a bit of panache to this painting.', ""This little girl's bright red bonnet makes her look strong and powerful""]"
20350,Symbolism,nicholas-roerich_blue-temples-1921,chinese,awe,['深邃的蓝色使村庄看起来很神秘。']
